state,perturbation,sustained_pore_open,viability_fraction,mtDNA_release_au,ATP_index
Cancer_Stress_Adapted,ANT_ATPsyn_low,0.24,0.8156132052435768,0.7726548629108423,0.8009201004557016
Cancer_Stress_Adapted,ANT_low,0.37,0.7591017058951924,0.9319263331514932,0.778451152118458
Cancer_Stress_Adapted,ATPsyn_low,0.43,0.7132238459791127,0.9823535558899528,0.7607868477224745
Cancer_Stress_Adapted,CypD_low,0.37,0.7479143824238218,0.9440824292223656,0.7751829069163808
Cancer_Stress_Adapted,WT,0.63,0.6350459860513213,1.213390238683455,0.7493366978943101
Cancer_Therapy_Naive,ANT_ATPsyn_low,0.43,0.7582423636979264,0.9132045348400293,0.7972304177129199
Cancer_Therapy_Naive,ANT_low,0.61,0.6720690206858453,1.117476664765712,0.7671302641853635
Cancer_Therapy_Naive,ATPsyn_low,0.61,0.6658214427405734,1.129140371352616,0.7642545759617471
Cancer_Therapy_Naive,CypD_low,0.44,0.7441249510545955,0.9522741678326304,0.7850495378232134
Cancer_Therapy_Naive,WT,0.73,0.6216476273730289,1.2695688966527716,0.7387217297203934
Cardiac_Control,ANT_ATPsyn_low,0.29,0.8285503539518783,0.7073068557355484,0.8573783678867339
Cardiac_Control,ANT_low,0.47,0.7551439877028528,0.9217805719575296,0.8387638129677627
Cardiac_Control,ATPsyn_low,0.47,0.7643580182956577,0.8865594036860888,0.845851654186103
Cardiac_Control,CypD_low,0.39,0.7886573369336061,0.8140059966707718,0.8569313980093984
Cardiac_Control,WT,0.58,0.7103637981671145,1.0660935376958625,0.8322471810062783
Cardiac_Ischemia_Reperfusion,ANT_ATPsyn_low,0.94,0.4444167807363612,1.7442804881358946,0.576267172802072
Cardiac_Ischemia_Reperfusion,ANT_low,0.97,0.41615378667957564,1.776924708236763,0.5756536163993223
Cardiac_Ischemia_Reperfusion,ATPsyn_low,0.96,0.42765176425313906,1.768014699710471,0.565072097274959
Cardiac_Ischemia_Reperfusion,CypD_low,0.99,0.4050886052537364,1.8109860607115014,0.564723190456592
Cardiac_Ischemia_Reperfusion,WT,1.0,0.3989548542514646,1.8134509378688228,0.5724387653862749
